Title,Year,Country/Genre,Director,Rating,Has Trailer,Has Watch Option
Туз в рукаве,1951,США,Билли Уайлдер,7.8,True,False
Эйс Вентура: Розыск домашних животных,1993,США,Том Шэдьяк,7.8,True,False
Месть актера,1963,Япония,Кон Итикава,6.8,True,False
Зависимость,1994,США,Абель Феррара,6.3,True,False
Страховой агент,1991,Канада,Атом Эгоян,6.1,True,False
Приключения Бакару Банзая в восьмом измерении,1984,США,У. Д. Рихтер,5.7,True,False
Приключения Робин Гуда,1938,США,Майкл Кёртиц,7.0,True,False
После работы,1985,США,Мартин Скорсезе,7.5,True,False
"Агирре, гнев божий",1972,Германия (ФРГ),Вернер Херцог,7.7,True,False
Аэроплан,1980,США,Джим Абрахамс,7.4,True,False
Акира,1987,Япония,Кацухиро Отомо,7.8,True,False
Александр Невский,1,СССР,Сергей Эйзенштейн,8.1,False,False
Элфи,1966,Великобритания,Льюис Гилберт,7.1,True,False
Алиса,1987,Чехословакия,Ян Шванкмайер,7.6,False,False
Чужой,1979,Великобритания,Ридли Скотт,8.1,True,False
Всё о моей матери,1999,Испания,Педро Альмодовар,7.8,True,False
"Все, что дозволено небесами",1955,США,Дуглас Сирк,7.1,True,False
Весь этот джаз,1979,США,Боб Фосси,7.7,True,False
Вся президентская рать,1976,США,Алан Дж. Пакула,7.5,True,False
Альфавиль,1965,Франция,Жан-Люк Годар,7.2,True,False
Амадей,1984,США,Милош Форман,8.2,True,False
Любовники с Нового моста,1991,Франция,Леос Каракс,7.7,True,False
Амели,2001,Франция,Жан-Пьер Жёне,8.0,True,False
Красота по-американски,1999,США,Сэм Мендес,8.0,True,False
Американский жиголо,1980,США,Пол Шредер,6.6,True,False
Американские граффити,1973,США,Джордж Лукас,7.2,True,False
Американец в Париже,1951,США,Винсент Миннелли,6.7,True,False
Американское кино,1999,США,Крис Смит,6.8,False,False
Американский пирог,1999,США,Пол Вайц,7.2,True,False
Американское великолепие,2003,США,Шари Спрингер Берман,6.7,True,False
Американский оборотень в Лондоне,1981,Великобритания,Джон Лэндис,6.9,True,False
Сука-любовь,2000,Мексика,Алехандро Гонсалес Иньярриту,7.9,True,False
Анатомия убийства,1959,США,Отто Преминджер,7.6,True,False
Андрей Рублев,2,СССР,Андрей Тарковский,8.2,True,False
Ангел за моим столом,1990,Великобритания,Джейн Кэмпион,7.1,True,False
Энни Холл,1977,США,Вуди Аллен,7.8,True,False
Квартира,1960,США,Билли Уайлдер,8.0,True,False
Апокалипсис сегодня,1979,США,Фрэнсис Форд Коппола,8.1,True,False
Квартира,1996,Франция,Жиль Мимуни,7.6,True,False
Яблоко,1998,Иран,Самира Махмальбаф,6.9,True,False
Армия теней,1969,Франция,Жан-Пьер Мельвиль,7.7,True,False
Вокруг Света за 80 дней,1956,США,Майкл Андерсон,7.1,True,False
Мышьяк и старые кружева,1944,США,Фрэнк Капра,7.8,True,False
Асфальтовые джунгли,1950,США,Джон Хьюстон,7.3,True,False
Нападение на 13-й участок,1976,США,Джон Карпентер,7.2,True,False
"История Аси Клячиной, которая любила, да не вышла замуж",1,СССР,Андрей Кончаловский,7.3,True,False
Аталанта,1934,Франция,Жан Виго,7.6,True,False
Быстрый бегун,2000,Канада,Захариас Кунук,6.9,True,False
Атлантик-Сити,1980,Франция,Луи Маль,7.0,True,False
"Наудачу, Бальтазар",1966,Франция,Робер Брессон,7.7,True,False
